This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
4/25/2013, 1.1707997573049445
4/26/2013, 1.0888358668277138
4/27/2013, 0
4/28/2013, 6.3265830592105265
4/29/2013, 8.017941926655016
4/30/2013, 0
5/1/2013, 0
5/2/2013, 0.06657534524014122
5/3/2013, 4.49076321250514
5/4/2013, 5.151493273283306
5/5/2013, 0
5/6/2013, 11.173143888774671
5/7/2013, 3.7184151097347864
5/8/2013, 4.7440747712787825
5/9/2013, 7.3601756848787
5/10/2013, 7.01431595651727
5/11/2013, 9.133785850123354
5/12/2013, 1.488202546772204
5/13/2013, 7.779950593647204
5/14/2013, 1.3347386811908923
5/15/2013, 0
5/16/2013, 0
5/17/2013, 0
5/18/2013, 0.13616840462935598
5/19/2013, 5.789172122353001
5/20/2013, 15.37248310289885
5/21/2013, 0
5/22/2013, 23.288864938836348
5/23/2013, 0
5/24/2013, 0
5/25/2013, 0
5/26/2013, 2.278315694708573
5/27/2013, 12.319340756064967
5/28/2013, 10.858483565481086
5/29/2013, 1.0472292649118524
5/30/2013, 6.362979286595395
5/31/2013, 5.507397300318668
6/1/2013, 0.25967126143606084
6/2/2013, 1.261868627447831
6/3/2013, 0
6/4/2013, 0
6/5/2013, 1.6210738734195107
6/6/2013, 5.859651264391448
6/7/2013, 4.982481705515008
6/8/2013, 10.162540636564556
6/9/2013, 0.6045511145340768
6/10/2013, 3.4796845285516036
6/11/2013, 3.1421171489514803
6/12/2013, 10.07853216873972
6/13/2013, 2.677745216771176
6/14/2013, 0.12340467854550011
6/15/2013, 0
6/16/2013, 0.17315319964760228
6/17/2013, 0
6/18/2013, 0
6/19/2013, 0
6/20/2013, 0.7102987891749332
6/21/2013, 1.7417572423031455
6/22/2013, 8.005143818102384
6/23/2013, 2.280024679083573
6/24/2013, 1.9556117810701068
6/25/2013, 9.288688258120889
6/26/2013, 6.1011412771124585
6/27/2013, 16.8050537109375
6/28/2013, 5.085197047183388
6/29/2013, 9.568564967105264
6/30/2013, 0
7/1/2013, 0.36347830922980057
