This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
10/27/2012, 0.8440674393265336
10/28/2012, 1.1880601671006945
10/29/2012, 10.947707790798612
10/30/2012, 16.37572337962963
10/31/2012, 22.744466145833332
11/1/2012, 18.951307508680557
11/2/2012, 0.22891831574616608
11/3/2012, 0
11/4/2012, 0
11/5/2012, 0
11/6/2012, 0
11/7/2012, 23.695066550925926
11/8/2012, 4.448879665798611
11/9/2012, 0.7086281670464409
11/10/2012, 1.1527357313368056
11/11/2012, 0.04779305634675202
11/12/2012, 0.2414594014485677
11/13/2012, 0
11/14/2012, 0
11/15/2012, 0
11/16/2012, 0
11/17/2012, 0
11/18/2012, 0
11/19/2012, 0
11/20/2012, 0
11/21/2012, 0
11/22/2012, 0
11/23/2012, 10.708030418113426
11/24/2012, 24.590677445023147
11/25/2012, 0
11/26/2012, 0
11/27/2012, 0
11/28/2012, 0
11/29/2012, 0
11/30/2012, 0
12/1/2012, 0
12/2/2012, 0
12/3/2012, 0
12/4/2012, 0.43404817934389467
12/5/2012, 0
12/6/2012, 0
12/7/2012, 0
12/8/2012, 0
12/9/2012, 0
12/10/2012, 0
12/11/2012, 0
12/12/2012, 0
12/13/2012, 0
12/14/2012, 0
12/15/2012, 0
12/16/2012, 2.041359456380208
12/17/2012, 2.9896506980613426
12/18/2012, 5.392275209780093
12/19/2012, 0
12/20/2012, 0
12/21/2012, 0
12/22/2012, 0
12/23/2012, 0
12/24/2012, 0
12/25/2012, 0
12/26/2012, 0
12/27/2012, 0.2166126109935619
12/28/2012, 3.4108326099537036
12/29/2012, 0
12/30/2012, 0
12/31/2012, 0
1/1/2013, 0
1/2/2013, 0
1/3/2013, 0
1/4/2013, 0
1/5/2013, 0
1/6/2013, 0
1/7/2013, 0
1/8/2013, 0.13529058385778356
1/9/2013, 3.001024486400463
1/10/2013, 0
1/11/2013, 0
1/12/2013, 0
1/13/2013, 0
1/14/2013, 0
1/15/2013, 0
1/16/2013, 0
1/17/2013, 0
1/18/2013, 0
1/19/2013, 0
1/20/2013, 0
1/21/2013, 0
1/22/2013, 0
1/23/2013, 0
1/24/2013, 0
1/25/2013, 0
1/26/2013, 0
1/27/2013, 0
1/28/2013, 0
1/29/2013, 0
1/30/2013, 0
1/31/2013, 0
2/1/2013, 0
2/2/2013, 0
2/3/2013, 0
2/4/2013, 0
2/5/2013, 0
2/6/2013, 0
2/7/2013, 0.1435649589256004
2/8/2013, 0
2/9/2013, 0.05830493503146701
2/10/2013, 0
2/11/2013, 0
2/12/2013, 0
2/13/2013, 0
2/14/2013, 4.699794741030092
2/15/2013, 9.56759982638889
2/16/2013, 0
2/17/2013, 0.02618607238486961
2/18/2013, 0
2/19/2013, 0.2156519854510272
2/20/2013, 0
2/21/2013, 0
2/22/2013, 0
2/23/2013, 0
2/24/2013, 0
2/25/2013, 0
2/26/2013, 0
2/27/2013, 0
2/28/2013, 0
3/1/2013, 0
3/2/2013, 0
3/3/2013, 0
3/4/2013, 0.6017077975802951
3/5/2013, 0
3/6/2013, 2.0235681604456017
3/7/2013, 3.4437027542679397
3/8/2013, 1.9110234013310186
3/9/2013, 2.9127703631365742
3/10/2013, 0
3/11/2013, 7.952180085358797
3/12/2013, 0.10920393202039931
3/13/2013, 0
3/14/2013, 0
3/15/2013, 0
3/16/2013, 0.5451883386682581
